R7xe2+
N8b7
Rhf4
Ngh2
Bxd1+
Qde4
Qdg7+
cxb8=B
R6d2
Ndf4+
Qdxd6
Bf4+
Rfb3+
Rhf3
Qae2
R6xd7
Rcxc2+
f6+
Qff6
Nd8+
N6b4
Rfb2
Qaxc4
R8xd4
Nc8+
Qxh5+
Nac4
Kxc2
Qfa2#
Rgxh2+
Ngxf5
Bxf7+
Rcb2
Q4d5#
Qexb7#
Qbxb2+
hxg8=R#
Q1b6
Qcb8
R2xd7+
Rxe6+
Rcg1#
Q8xa7+
Qgxc7+
Ndb4+
N4xf3+
R5h2#
Qcc4+
Qexf4
Qbe3+
g2+
Rfb8#
Nxd6
Qfb8
Qcxh7+
Nfd8
Q7c6#
Qfh3#
Qexh6#
Q1c2#
Bf5#
R5g4+
a1=R+
Nde2+
Q1xc6+
Nba4
Qcb6
Qea2#
Rb8#
hxg2+
Qce7#
Rexa3
Qfb5#
N1xf3
Q4xf6+
Rxd1
Nfxg7+
Nh7
Qxb6
fxg6
R3f4
B2e3
Qbh2+
cxb6#
R8b3+
Qaxb2+
Rxc8#
Qgb8#
Nxg4+
Qexh2
Qe1+
Qfd8+
Qxg4#
R2e5+
Nxf4+
Qcc5+
R1a3#
Rfh3+
Qbg7+
Rdc7#
#11]
Rgxe7#
Ne4+
Q8g6+
Ned2+
Qbxb6
Qexd3
Q8b7
Rdxh6+
Raf1#
Rga3
Qac4+
dxc8=N+
Rbc7#
N2f3+
R8xd5
Qexg3+
Rdxf5+
Qcc2
Rcxe5+
Q8xg7#
Nf6
N4xe6
bxc1=R+
Qbxg6+
N5xg4+
Raxd6
Na8
b7+
Bxd7+
Rhd2+
Bxd6
Bde2+
Rad4+
Bxc3+
R8b4#
Ncxb6
Nec7
Bxe6#
Q1g2+
Rbxc7+
Q4xg3+
Reb7
Qbxb2
Rcxg3
Na3#
R1xa4
Rga4
R7b6
Qxc4#
Q6xf4#
Rf1+
Qxh8+
Qdxg1#
Rge1#
N3a5
Rbxf6
Nxc1#
Rfxg6+
Nbd3+
Qdb4
Qbc3+
d4#
Rfxa2
Qde3
Rdxe8+
Rcxh5#
Qfb2
Rfe8+
Kd1+
Rhg1#
Red1
